truth_mm,median_mm,err_mm,err_pct,std_raw_mm,std_detrend_mm,valid_center_pct,valid_full_pct,n_frames
400,389.9,-10.1,-2.52,1.85,1.72,100.0,100.0,100
500,515.0,+15.0,+3.00,2.53,2.35,100.0,100.0,100
600,602.1,+2.1,+0.35,3.59,3.32,100.0,100.0,100
700,742.9,+42.9,+6.13,4.87,4.51,100.0,100.0,100
800,841.6,+41.6,+5.20,7.06,6.54,99.8,99.8,100
900,953.8,+53.8,+5.98,9.07,8.40,92.4,92.4,100
950,1022.0,+72.0,+7.58,10.41,9.64,67.1,67.1,100
1000,950.9,-49.1,-4.91,10.95,10.13,25.5,25.5,100
1050,1022.0,-28.0,-2.67,11.38,10.54,5.4,5.4,100
1100,1022.0,-78.0,-7.09,14.11,13.07,1.0,1.0,100
1150,1022.0,-128.0,-11.13,14.85,13.75,0.2,0.2,100
